Entity,Code,Year,Share of plastic inadequately managed (%)
Lithuania,LTU,2010,14
Macao,MAC,2010,0
Madagascar,MDG,2010,84
Malaysia,MYS,2010,55
Maldives,MDV,2010,66
Malta,MLT,2010,6
Marshall Islands,MHL,2010,77
Martinique,MTQ,2010,0
Mauritania,MRT,2010,82
Mauritius,MUS,2010,51
Mexico,MEX,2010,12
Micronesia (country),FSM,2010,81
Monaco,MCO,2010,0
Montenegro,MNE,2010,30
Montserrat,MSR,2010,12
Morocco,MAR,2010,66
Mozambique,MOZ,2010,84
Myanmar,MMR,2010,87
Namibia,NAM,2010,66
Nauru,NRU,2010,67
Netherlands,NLD,2010,0
Netherlands Antilles,ANT,2010,0
New Caledonia,NCL,2010,0
New Zealand,NZL,2010,0
Nicaragua,NIC,2010,45
Nigeria,NGA,2010,81
Niue,NIU,2010,0
Norfolk Island,NFK,2010,82
North Korea,PRK,2010,88
Northern Mariana Islands,MNP,2010,0
Norway,NOR,2010,0
Oman,OMN,2010,4
Pakistan,PAK,2010,86
Palau,PLW,2010,56
Palestine,PSE,2010,6
Panama,PAN,2010,18
Papua New Guinea,PNG,2010,86
Peru,PER,2010,25
Philippines,PHL,2010,81
Poland,POL,2010,12
Portugal,PRT,2010,0
Puerto Rico,PRI,2010,2
Qatar,QAT,2010,0
Reunion,REU,2010,0
Romania,ROU,2010,26
Russia,RUS,2010,16
Saint Helena,SHN,2010,25
Saint Kitts and Nevis,KNA,2010,6
Saint Lucia,LCA,2010,20
Saint Pierre and Miquelon,SPM,2010,0
Saint Vincent and the Grenadines,VCT,2010,21
Samoa,WSM,2010,80
Sao Tome and Principe,STP,2010,81
Saudi Arabia,SAU,2010,8
Senegal,SEN,2010,82
Seychelles,SYC,2010,37
Sierra Leone,SLE,2010,84
Singapore,SGP,2010,0
Sint Maarten (Dutch part),SXM,2010,0
Slovenia,SVN,2010,1
Solomon Islands,SLB,2010,86
Somalia,SOM,2010,85
South Africa,ZAF,2010,54
South Korea,KOR,2010,0
Spain,ESP,2010,0
Sri Lanka,LKA,2010,82
Sudan,SDN,2010,80
Suriname,SUR,2010,15
Sweden,SWE,2010,0
Syria,SYR,2010,65
Taiwan,TWN,2010,0
Tanzania,TZA,2010,84
Thailand,THA,2010,73
Togo,TGO,2010,84
Tokelau,TKL,2010,82
Tonga,TON,2010,78
Trinidad and Tobago,TTO,2010,3
Tunisia,TUN,2010,60
Turkey,TUR,2010,16
Turks and Caicos Islands,TCA,2010,0
Tuvalu,TUV,2010,73
Ukraine,UKR,2010,49
United Arab Emirates,ARE,2010,0
United Kingdom,GBR,2010,0
United States,USA,2010,0
Uruguay,URY,2010,8
Vanuatu,VUT,2010,81
Venezuela,VEN,2010,5
Vietnam,VNM,2010,86
Yemen,YEM,2010,73
